"","observation_id","species","Indo.Pacific.faunal.province","location_name"
"143",150800,"valida","Indonesian","Global estimate"
"144",150801,"valida","Japan-Vietnam","Global estimate"
"145",150802,"valida","Persian Gulf","Global estimate"
"146",150803,"valida","Polynesia","Global estimate"
"147",150804,"valida","Red Sea","Global estimate"
"148",150805,"valida","Tonga-Samoa","Global estimate"
"149",150832,"walindii","Australian","Global estimate"
"150",150833,"walindii","Fiji-Caroline Islands","Global estimate"
"151",150834,"walindii","Indonesian","Global estimate"
"152",150835,"walindii","Japan-Vietnam","Global estimate"
"153",150847,"yongei","Africa-India","Global estimate"
"154",150848,"yongei","Australian","Global estimate"
"155",150849,"yongei","Fiji-Caroline Islands","Global estimate"
"156",150850,"yongei","Indonesian","Global estimate"
"157",150851,"yongei","Japan-Vietnam","Global estimate"
"158",150852,"yongei","Tonga-Samoa","Global estimate"
