"","loc","Number","Longitude","Latitude"
"109","55_18.00325_-67.3317",55,-67.3317,18.00325
"110","55_18.103222_-67.936472",55,-67.936472,18.103222
"111","55_18.361733_-64.7743",55,-64.7743,18.361733
"112","55_18.383333_-87.45",55,-87.45,18.383333
"113","55_18.413567_-75.029433",55,-75.029433,18.413567
"114","55_24.6209_-82.8675",55,-82.8675,24.6209
"115","55_26.70747_-77.15358",55,-77.15358,26.70747
"116","55_9.122683_-81.818333",55,-81.818333,9.122683
"117","57_-0.641801_73.253573",57,73.253573,-0.641801
"118","57_-18.611719_146.512358",57,146.512358,-18.611719
"119","57_-22.879493_112.924534",57,112.924534,-22.879493
"120","57_-23.44245_151.924438",57,151.924438,-23.44245
"121","57_-4.709637_55.427308",57,55.427308,-4.709637
"122","57_-5.311634_150.503504",57,150.503504,-5.311634
"123","57_26.286821_127.863494",57,127.863494,26.286821
"124","57_7.305951_168.800474",57,168.800474,7.305951
"125","57_7.305951_168.800475",57,168.800475,7.305951
"126","57_7.305951_168.800476",57,168.800476,7.305951
"127","57_7.305951_168.800477",57,168.800477,7.305951
"128","57_7.305951_168.800478",57,168.800478,7.305951
"129","582_12.61194_-61.45222",582,-61.45222,12.61194
"130","582_12.99528_-61.27472",582,-61.27472,12.99528
"131","582_13.01222_-61.24972",582,-61.24972,13.01222
"132","582_13.12583_-61.19444",582,-61.19444,13.12583
"133","582_13.12667_-61.20806",582,-61.20806,13.12667
"134","582_13.29944_-61.24833",582,-61.24833,13.29944
"135","582_13.86083_-61.07444",582,-61.07444,13.86083
"136","582_14.09194_-60.96806",582,-60.96806,14.09194
"137","582_14.49111_-61.08889",582,-61.08889,14.49111
"138","582_14.54444_-61.08056",582,-61.08056,14.54444
"139","582_14.6375_-61.13917",582,-61.13917,14.6375
"140","582_14.84083_-61.22528",582,-61.22528,14.84083
"141","582_15.88333_-61.57083",582,-61.57083,15.88333
"142","582_16.08778_-61.77056",582,-61.77056,16.08778
"143","582_16.16667_-61.79",582,-61.79,16.16667
"144","582_16.17667_-61.10472",582,-61.10472,16.17667
"145","582_16.2_-61.48889",582,-61.48889,16.2
"146","582_16.25_-61.18056",582,-61.18056,16.25
"147","582_16.33472_-61.34167",582,-61.34167,16.33472
"148","582_16.35444_-61.5725",582,-61.5725,16.35444
"149","582_16.35972_-61.59222",582,-61.59222,16.35972
"150","582_16.38167_-61.76389",582,-61.76389,16.38167
"151","582_16.39389_-61.40361",582,-61.40361,16.39389
"152","582_16.48639_-61.49722",582,-61.49722,16.48639
"153","582_16.99778_-61.76028",582,-61.76028,16.99778
"154","582_17.08139_-61.91389",582,-61.91389,17.08139
"155","582_17.12944_-61.89194",582,-61.89194,17.12944
"156","582_17.61778_-63.22639",582,-63.22639,17.61778
"157","582_17.91278_-62.79972",582,-62.79972,17.91278
"158","582_17.91389_-62.81778",582,-62.81778,17.91389
"159","582_17.93944_-62.83194",582,-62.83194,17.93944
"160","582_18.07333_-63.11917",582,-63.11917,18.07333
"161","582_18.10944_-62.98083",582,-62.98083,18.10944
"162","582_18.12583_-62.9725",582,-62.9725,18.12583
"163","582_18.14139_-61.77972",582,-61.77972,18.14139
"164","599_24.3_123.97",599,123.97,24.3
"165","625_12.18611_-69.00139",625,-69.00139,12.18611
"166","625_16.25083_-61.18139",625,-61.18139,16.25083
"167","625_16.36_-61.59361",625,-61.59361,16.36
"168","625_16.42639_-61.53444",625,-61.53444,16.42639
"169","625_16.48778_-61.495",625,-61.495,16.48778
"170","625_17.90139_-66.50972",625,-66.50972,17.90139
"171","625_17.91778_-67.10667",625,-67.10667,17.91778
"172","625_17.93139_-67.09389",625,-67.09389,17.93139
"173","625_17.93611_-67.01917",625,-67.01917,17.93611
"174","625_17.93889_-67.04333",625,-67.04333,17.93889
"175","625_17.94_-67.06222",625,-67.06222,17.94
"176","625_17.94056_-66.86861",625,-66.86861,17.94056
"177","625_17.94389_-67.08667",625,-67.08667,17.94389
"178","625_17.95306_-67.04667",625,-67.04667,17.95306
"179","625_18.05667_-67.86806",625,-67.86806,18.05667
"180","625_18.08889_-65.46528",625,-65.46528,18.08889
"181","625_18.09139_-67.93972",625,-67.93972,18.09139
"182","625_18.10861_-65.39972",625,-65.39972,18.10861
"183","625_18.10889_-65.39861",625,-65.39861,18.10889
"184","625_18.28278_-65.29",625,-65.29,18.28278
"185","625_18.31806_-65.32528",625,-65.32528,18.31806
"186","625_18.31917_-65.25194",625,-65.25194,18.31917
"187","625_18.34639_-67.26333",625,-67.26333,18.34639
"188","625_18.37556_-65.5675",625,-65.5675,18.37556
"189","625_18.38139_-65.58417",625,-65.58417,18.38139
"190","625_18.46222_-65.99639",625,-65.99639,18.46222
"191","625_18.46806_-66.09139",625,-66.09139,18.46806
"192","625_18.49083_-66.41444",625,-66.41444,18.49083
"193","625_18.51611_-67.09944",625,-67.09944,18.51611
"194","625_23.76139_-76.0875",625,-76.0875,23.76139
"195","638_-21.40041_55.719157",638,55.719157,-21.40041
"196","638_-21.80667_35.50417",638,35.50417,-21.80667
"197","638_-26.03167_32.87694",638,32.87694,-26.03167
"198","638_-27.07889_32.85222",638,32.85222,-27.07889
"199","638_-27.19817_32.80736",638,32.80736,-27.19817
"200","638_-27.291519_32.772361",638,32.772361,-27.291519
"201","638_-27.52472_32.68833",638,32.68833,-27.52472
"202","638_-27.7325_32.64194",638,32.64194,-27.7325
"203","638_-27.9125_32.59889",638,32.59889,-27.9125
"204","647_7.0111_134.21833",647,134.21833,7.0111
"205","647_7.0556_134.3181",647,134.3181,7.0556
"206","647_7.0796_134.26157",647,134.26157,7.0796
"207","647_7.1113_134.36692",647,134.36692,7.1113
"208","647_7.1633_134.41277",647,134.41277,7.1633
"209","647_7.2523_134.22093",647,134.22093,7.2523
"210","647_7.2619_134.54426",647,134.54426,7.2619
"211","647_7.2874_134.50295",647,134.50295,7.2874
"212","647_7.307_134.23141",647,134.23141,7.307
"213","647_7.3623_134.61971",647,134.61971,7.3623
"214","647_7.4183_134.34557",647,134.34557,7.4183
"215","647_7.4297_134.64202",647,134.64202,7.4297
"216","647_7.5307_134.4011",647,134.4011,7.5307
"217","647_7.561_134.46864",647,134.46864,7.561
"218","647_7.586_134.64929",647,134.64929,7.586
"219","647_7.6678_134.6497",647,134.6497,7.6678
"220","647_7.7224_134.56752",647,134.56752,7.7224
"221","647_7.8018_134.508",647,134.508,7.8018
"222","647_7.815_134.66043",647,134.66043,7.815
"223","647_7.8602_134.50802",647,134.50802,7.8602
"224","647_7.8788_134.68135",647,134.68135,7.8788
"225","647_7.9886_134.70319",647,134.70319,7.9886
"226","647_7.9902_134.65965",647,134.65965,7.9902
"227","647_8.0014_134.5361",647,134.5361,8.0014
"228","647_8.0421_134.6863",647,134.6863,8.0421
"229","67_-0.57_73.15",67,73.15,-0.57
"230","67_-18.61_146.51",67,146.51,-18.61
"231","67_-22.74_113.69",67,113.69,-22.74
"232","67_-23.44_151.91",67,151.91,-23.44
"233","67_-4.63_55.49",67,55.49,-4.63
"234","67_-5.16_150.54",67,150.54,-5.16
"235","67_11.34_166.79",67,166.79,11.34
"236","67_26.74_128.06",67,128.06,26.74
"237","67_7.08_171.68",67,171.68,7.08
"238","67_7.11_171.19",67,171.19,7.11
"239","67_7.42_151.73",67,151.73,7.42
"240","672_13.2511_144.6767",672,144.6767,13.2511
"241","672_13.3785_144.6494",672,144.6494,13.3785
"242","672_13.4646_144.6472",672,144.6472,13.4646
"243","672_13.4803_144.7402",672,144.7402,13.4803
"244","672_13.5094_144.7949",672,144.7949,13.5094
"245","672_13.548_144.8192",672,144.8192,13.548
"246","672_15.1778_145.751",672,145.751,15.1778
"247","682_24.269_123.83",682,123.83,24.269
"248","682_24.301_124.016",682,124.016,24.301
"249","682_24.332_123.696",682,123.696,24.332
"250","682_24.342_124.094",682,124.094,24.342
"251","682_24.431_123.79",682,123.79,24.431
"252","682_24.609_124.326",682,124.326,24.609
"253","682_24.719_125.342",682,125.342,24.719
"254","682_24.932_125.233",682,125.233,24.932
"255","682_26.267_127.575",682,127.575,26.267
"256","682_26.296_127.744",682,127.744,26.296
"257","682_26.356_126.877",682,126.877,26.356
"258","682_26.444_127.773",682,127.773,26.444
"259","682_26.632_127.864",682,127.864,26.632
"260","682_28.374_129.404",682,129.404,28.374
"261","682_28.474_129.716",682,129.716,28.474
"262","78_26.15_127.32",78,127.32,26.15
"263","78_26.61_142.16",78,142.16,26.61
"264","78_26.65_127.86",78,127.86,26.65
"265","78_26.7_142.11",78,142.11,26.7
"266","78_26.86_128.29",78,128.29,26.86
"267","78_27.05_142.18",78,142.18,27.05
"268","8_16.73_-169.53",8,-169.53,16.73
"269","8_23.44_-166.8",8,-166.8,23.44
"270","81_-12.37_123.24",81,123.24,-12.37
"271","81_-14.04_121.89",81,121.89,-14.04
"272","81_-17.33_119.17",81,119.17,-17.33
"273","81_-20.45_115.5",81,115.5,-20.45
"274","81_-20.56_116.53",81,116.53,-20.56
"275","81_-22.74_113.69",81,113.69,-22.74
"276","82_-11.462_143.042",82,143.042,-11.462
"277","82_-11.783_144",82,144,-11.783
"278","82_-12.5_143.785",82,143.785,-12.5
"279","82_-12.585_143.511",82,143.511,-12.585
"280","82_-13.436_143.972",82,143.972,-13.436
"281","82_-13.779_143.58",82,143.58,-13.779
"282","82_-13.779_143.641",82,143.641,-13.779
"283","82_-13.972_144.502",82,144.502,-13.972
"284","82_-14.519_145.538",82,145.538,-14.519
"285","82_-14.616_145.617",82,145.617,-14.616
"286","82_-14.618_145.636",82,145.636,-14.618
"287","82_-14.633_145.654",82,145.654,-14.633
"288","82_-14.639_145.636",82,145.636,-14.639
"289","82_-14.669_145.57",82,145.57,-14.669
"290","82_-14.705_145.457",82,145.457,-14.705
"291","82_-14.742_145.512",82,145.512,-14.742
"292","82_-14.82_145.528",82,145.528,-14.82
"293","82_-14.823_145.555",82,145.555,-14.823
"294","82_-16.49_150.314",82,150.314,-16.49
"295","82_-18.205_147.016",82,147.016,-18.205
"296","82_-18.267_147.389",82,147.389,-18.267
"297","82_-18.353_146.819",82,146.819,-18.353
"298","82_-18.41_147.454",82,147.454,-18.41
"299","82_-18.441_146.995",82,146.995,-18.441
"300","82_-18.479_146.873",82,146.873,-18.479
"301","82_-18.553_146.488",82,146.488,-18.553
"302","82_-18.58_146.497",82,146.497,-18.58
"303","82_-18.581_146.48",82,146.48,-18.581
"304","82_-18.594_146.486",82,146.486,-18.594
"305","82_-18.599_146.49",82,146.49,-18.599
"306","82_-18.612_146.483",82,146.483,-18.612
"307","82_-18.632_147.055",82,147.055,-18.632
"308","82_-18.66_147.711",82,147.711,-18.66
"309","82_-18.748_147.721",82,147.721,-18.748
"310","82_-18.798_147.529",82,147.529,-18.798
"311","82_-18.822_147.645",82,147.645,-18.822
"312","82_-19.527_148.98",82,148.98,-19.527
"313","82_-19.559_149.6",82,149.6,-19.559
"314","82_-20.09_150.321",82,150.321,-20.09
"315","82_-20.781_150.901",82,150.901,-20.781
"316","82_-21.484_152.559",82,152.559,-21.484
"317","82_-21.56_152.544",82,152.544,-21.56
"318","82_-21.671_152.447",82,152.447,-21.671
"319","82_-21.716_152.55",82,152.55,-21.716
"320","82_-21.73_152.429",82,152.429,-21.73
"321","82_-21.91_152.527",82,152.527,-21.91
"322","82_-22.013_152.646",82,152.646,-22.013
"323","82_-23.174_150.935",82,150.935,-23.174
"324","82_-23.435_151.945",82,151.945,-23.435
"325","82_-23.448_151.913",82,151.913,-23.448
"326","82_-23.451_151.896",82,151.896,-23.451
"327","82_-23.454_151.923",82,151.923,-23.454
"328","82_-23.467_151.849",82,151.849,-23.467
"329","82_-23.482_152.077",82,152.077,-23.482
"330","83_24.205_124.008",83,124.008,24.205
"331","83_24.225_123.91",83,123.91,24.225
"332","83_24.28_123.968",83,123.968,24.28
"333","83_24.293_124.061",83,124.061,24.293
"334","83_24.296_124.132",83,124.132,24.296
"335","83_24.354_124.045",83,124.045,24.354
"336","83_24.455_124.1",83,124.1,24.455
"337","83_24.612_124.322",83,124.322,24.612
"338","83_24.747_125.447",83,125.447,24.747
"339","83_24.867_125.161",83,125.161,24.867
"340","83_26.095_127.743",83,127.743,26.095
"341","83_26.19_127.275",83,127.275,26.19
"342","83_26.194_127.292",83,127.292,26.194
"343","83_26.449_127.778",83,127.778,26.449
"344","83_26.804_128.208",83,128.208,26.804
"345","83_28.244_129.445",83,129.445,28.244
"346","83_28.333_129.303",83,129.303,28.333
"347","83_28.502_129.652",83,129.652,28.502
"348","83_30.66_130.94",83,130.94,30.66
"349","844_-4.27_-171.14",844,-171.14,-4.27
"350","844_13.25_144.47",844,144.47,13.25
"351","844_5.18_162.53",844,162.53,5.18
"352","844_6.45_157.59",844,157.59,6.45
"353","844_7.07_171.02",844,171.02,7.07
"354","844_7.19_151.33",844,151.33,7.19
"355","844_7.2_171.33",844,171.33,7.2
"356","844_7.31_134.29",844,134.29,7.31
"357","844_8.18_137.29",844,137.29,8.18
"358","844_9.26_138.02",844,138.02,9.26
"359","844_9.6_167.18",844,167.18,9.6
"360","94_7.43_134.642",94,134.642,7.43
"361","94_7.531_134.4011",94,134.4011,7.531
"362","94_8.0014_134.5361",94,134.5361,8.0014
"363","96_-29.93_153.39",96,153.39,-29.93
"364","96_-30.02_153.27",96,153.27,-30.02
"365","96_-30.16_153.22",96,153.22,-30.16
"366","96_-31.52_159.04",96,159.04,-31.52
"367","96_-31.52_159.07",96,159.07,-31.52
"368","96_-31.55_159.1",96,159.1,-31.55
