Reviewer,Number,Authors,Title,Pub.year,URL,Species,Site,Latitude,Longitude,Loc.method,Month,Sample.year,Primer.note,Locus,Cross.species,He,Ho,A,Fis,He.mean,Ho.mean,A.mean,Fis.mean,He.sd,Ho.sd,A.sd,Fis.sd,Sample.Size,Notes,,,,,,,,
MK,1148,"F Li, D Chen, Y Li, S Li, J Hou, D Wang…",Development of Microsatellite Markers for the Hermatypic Coral Porites lutea,2020,http://www.aquapublisher.com/index.php/ijms/article/view/3756,Porites lutea,"Basuo Reef, Dongfang City",19,108,given,NA,NA,TRUE,plo37,FALSE,0.75,0.38,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,,,,,,,,,
MK,1148,"F Li, D Chen, Y Li, S Li, J Hou, D Wang…",Development of Microsatellite Markers for the Hermatypic Coral Porites lutea,2020,http://www.aquapublisher.com/index.php/ijms/article/view/3757,Porites lutea,"Basuo Reef, Dongfang City",19,108,given,NA,NA,TRUE,plo42,FALSE,0.38,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,,,,,,,,,
MK,1148,"F Li, D Chen, Y Li, S Li, J Hou, D Wang…",Development of Microsatellite Markers for the Hermatypic Coral Porites lutea,2020,http://www.aquapublisher.com/index.php/ijms/article/view/3758,Porites lutea,"Basuo Reef, Dongfang City",19,108,given,NA,NA,TRUE,plo66,FALSE,0.53,0.56,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,,,,,,,,,
MK,1148,"F Li, D Chen, Y Li, S Li, J Hou, D Wang…",Development of Microsatellite Markers for the Hermatypic Coral Porites lutea,2020,http://www.aquapublisher.com/index.php/ijms/article/view/3759,Porites lutea,"Basuo Reef, Dongfang City",19,108,given,NA,NA,TRUE,plo68,FALSE,0.83,0.13,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,,,,,,,,,
MK,1148,"F Li, D Chen, Y Li, S Li, J Hou, D Wang…",Development of Microsatellite Markers for the Hermatypic Coral Porites lutea,2020,http://www.aquapublisher.com/index.php/ijms/article/view/3760,Porites lutea,"Basuo Reef, Dongfang City",19,108,given,NA,NA,TRUE,plo74,FALSE,0.72,0.19,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,,,,,,,,,
MK,1148,"F Li, D Chen, Y Li, S Li, J Hou, D Wang…",Development of Microsatellite Markers for the Hermatypic Coral Porites lutea,2020,http://www.aquapublisher.com/index.php/ijms/article/view/3761,Porites lutea,"Basuo Reef, Dongfang City",19,108,given,NA,NA,TRUE,plo78,FALSE,0.56,0.81,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,,,,,,,,,
MK,1148,"F Li, D Chen, Y Li, S Li, J Hou, D Wang…",Development of Microsatellite Markers for the Hermatypic Coral Porites lutea,2020,http://www.aquapublisher.com/index.php/ijms/article/view/3762,Porites lutea,"Basuo Reef, Dongfang City",19,108,given,NA,NA,TRUE,pasE005,FALSE,0.48,0.38,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,,,,,,,,,
MK,1148,"F Li, D Chen, Y Li, S Li, J Hou, D Wang…",Development of Microsatellite Markers for the Hermatypic Coral Porites lutea,2020,http://www.aquapublisher.com/index.php/ijms/article/view/3763,Porites lutea,"Basuo Reef, Dongfang City",19,108,given,NA,NA,TRUE,pasE016,FALSE,0.29,0.13,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,,,,,,,,,
MK,1148,"F Li, D Chen, Y Li, S Li, J Hou, D Wang…",Development of Microsatellite Markers for the Hermatypic Coral Porites lutea,2020,http://www.aquapublisher.com/index.php/ijms/article/view/3764,Porites lutea,"Basuo Reef, Dongfang City",19,108,given,NA,NA,TRUE,pasE021,FALSE,0.78,0.94,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,,,,,,,,,
MK,1148,"F Li, D Chen, Y Li, S Li, J Hou, D Wang…",Development of Microsatellite Markers for the Hermatypic Coral Porites lutea,2020,http://www.aquapublisher.com/index.php/ijms/article/view/3765,Porites lutea,"Basuo Reef, Dongfang City",19,108,given,NA,NA,TRUE,pasE030,FALSE,0.18,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,,,,,,,,,
MK,1148,"F Li, D Chen, Y Li, S Li, J Hou, D Wang…",Development of Microsatellite Markers for the Hermatypic Coral Porites lutea,2020,http://www.aquapublisher.com/index.php/ijms/article/view/3766,Porites lutea,"Basuo Reef, Dongfang City",19,108,given,NA,NA,TRUE,pasE041,FALSE,0.66,0.38,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,,,,,,,,,
MK,1148,"F Li, D Chen, Y Li, S Li, J Hou, D Wang…",Development of Microsatellite Markers for the Hermatypic Coral Porites lutea,2020,http://www.aquapublisher.com/index.php/ijms/article/view/3767,Porites lutea,"Basuo Reef, Dongfang City",19,108,given,NA,NA,TRUE,pasE042,FALSE,0.67,0.13,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,,,,,,,,,
MK,1148,"F Li, D Chen, Y Li, S Li, J Hou, D Wang…",Development of Microsatellite Markers for the Hermatypic Coral Porites lutea,2020,http://www.aquapublisher.com/index.php/ijms/article/view/3768,Porites lutea,"Basuo Reef, Dongfang City",19,108,given,NA,NA,TRUE,pasE056,FALSE,0.52,0.25,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,,,,,,,,,
MK,1148,"F Li, D Chen, Y Li, S Li, J Hou, D Wang…",Development of Microsatellite Markers for the Hermatypic Coral Porites lutea,2020,http://www.aquapublisher.com/index.php/ijms/article/view/3769,Porites lutea,"Basuo Reef, Dongfang City",19,108,given,NA,NA,TRUE,pasE060,FALSE,0.81,0.5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,,,,,,,,,
MK,1148,"F Li, D Chen, Y Li, S Li, J Hou, D Wang…",Development of Microsatellite Markers for the Hermatypic Coral Porites lutea,2020,http://www.aquapublisher.com/index.php/ijms/article/view/3770,Porites lutea,"Basuo Reef, Dongfang City",19,108,given,NA,NA,TRUE,pasE062,FALSE,0.48,0.38,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,,,,,,,,,
MK,1148,"F Li, D Chen, Y Li, S Li, J Hou, D Wang…",Development of Microsatellite Markers for the Hermatypic Coral Porites lutea,2020,http://www.aquapublisher.com/index.php/ijms/article/view/3771,Porites lutea,"Basuo Reef, Dongfang City",19,108,given,NA,NA,TRUE,pasE065,FALSE,0.24,0.06,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,,,,,,,,,
MK,1148,"F Li, D Chen, Y Li, S Li, J Hou, D Wang…",Development of Microsatellite Markers for the Hermatypic Coral Porites lutea,2020,http://www.aquapublisher.com/index.php/ijms/article/view/3772,Porites lutea,"Basuo Reef, Dongfang City",19,108,given,NA,NA,TRUE,pasE073,FALSE,0.73,0.75,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,,,,,,,,,
MK,1148,"F Li, D Chen, Y Li, S Li, J Hou, D Wang…",Development of Microsatellite Markers for the Hermatypic Coral Porites lutea,2020,http://www.aquapublisher.com/index.php/ijms/article/view/3773,Porites lutea,"Basuo Reef, Dongfang City",19,108,given,NA,NA,TRUE,pasE099,FALSE,0.34,0.06,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,,,,,,,,,
MK,1149,"NR Polato, GT Concepcion, RJ Toonen…",Isolation by distance across the Hawaiian Archipelago in the reef_building coral Porites lobata,2010,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1365-294X.2010.04836.x,Porites lobata,Kure Atoll,28.3925,-178.2936,estimate,NA,NA,FALSE,pl0340,FALSE,0.538,0.318,3,0.428,NA,NA,NA,-0.021,NA,NA,NA,NA,22,,,,,,,,,
MK,1149,"NR Polato, GT Concepcion, RJ Toonen…",Isolation by distance across the Hawaiian Archipelago in the reef_building coral Porites lobata,2010,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1365-294X.2010.04836.x,Porites lobata,Kure Atoll,28.3925,-178.2936,estimate,NA,NA,FALSE,pl0780,FALSE,0.165,0.182,2,-0.077,NA,NA,NA,-0.021,NA,NA,NA,NA,22,,,,,,,,,
MK,1149,"NR Polato, GT Concepcion, RJ Toonen…",Isolation by distance across the Hawaiian Archipelago in the reef_building coral Porites lobata,2010,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1365-294X.2010.04836.x,Porites lobata,Kure Atoll,28.3925,-178.2936,estimate,NA,NA,FALSE,pl1357,FALSE,0.322,0.381,3,-0.159,NA,NA,NA,-0.021,NA,NA,NA,NA,21,,,,,,,,,
MK,1149,"NR Polato, GT Concepcion, RJ Toonen…",Isolation by distance across the Hawaiian Archipelago in the reef_building coral Porites lobata,2010,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1365-294X.2010.04836.x,Porites lobata,Kure Atoll,28.3925,-178.2936,estimate,NA,NA,FALSE,pl1490,FALSE,0,0,1,0,NA,NA,NA,-0.021,NA,NA,NA,NA,22,,,,,,,,,
MK,1149,"NR Polato, GT Concepcion, RJ Toonen…",Isolation by distance across the Hawaiian Archipelago in the reef_building coral Porites lobata,2010,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1365-294X.2010.04836.x,Porites lobata,Kure Atoll,28.3925,-178.2936,estimate,NA,NA,FALSE,pl1551,FALSE,0.573,0.714,4,-0.224,NA,NA,NA,-0.021,NA,NA,NA,NA,21,,,,,,,,,
MK,1149,"NR Polato, GT Concepcion, RJ Toonen…",Isolation by distance across the Hawaiian Archipelago in the reef_building coral Porites lobata,2010,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1365-294X.2010.04836.x,Porites lobata,Kure Atoll,28.3925,-178.2936,estimate,NA,NA,FALSE,pl1556,FALSE,0.172,0.19,2,-0.081,NA,NA,NA,-0.021,NA,NA,NA,NA,21,,,,,,,,,
MK,1149,"NR Polato, GT Concepcion, RJ Toonen…",Isolation by distance across the Hawaiian Archipelago in the reef_building coral Porites lobata,2010,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1365-294X.2010.04836.x,Porites lobata,Kure Atoll,28.3925,-178.2936,estimate,NA,NA,FALSE,pl1629,FALSE,0.172,0.19,2,-0.081,NA,NA,NA,-0.021,NA,NA,NA,NA,21,,,,,,,,,
MK,1149,"NR Polato, GT Concepcion, RJ Toonen…",Isolation by distance across the Hawaiian Archipelago in the reef_building coral Porites lobata,2010,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1365-294X.2010.04836.x,Porites lobata,Kure Atoll,28.3925,-178.2936,estimate,NA,NA,FALSE,pl2069,FALSE,0.346,0.318,3,0.104,NA,NA,NA,-0.021,NA,NA,NA,NA,22,,,,,,,,,
MK,1149,"NR Polato, GT Concepcion, RJ Toonen…",Isolation by distance across the Hawaiian Archipelago in the reef_building coral Porites lobata,2010,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1365-294X.2010.04836.x,Porites lobata,Kure Atoll,28.3925,-178.2936,estimate,NA,NA,FALSE,pl2258,FALSE,0.172,0.19,2,-0.081,NA,NA,NA,-0.021,NA,NA,NA,NA,21,,,,,,,,,
MK,1149,"NR Polato, GT Concepcion, RJ Toonen…",Isolation by distance across the Hawaiian Archipelago in the reef_building coral Porites lobata,2010,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1365-294X.2010.04836.x,Porites lobata,Midway Atoll,28.2072,-177.3735,estimate,NA,NA,FALSE,pl0340,FALSE,0.54,0.476,3,0.142,NA,NA,NA,0.011,NA,NA,NA,NA,21,,,,,,,,,
MK,1149,"NR Polato, GT Concepcion, RJ Toonen…",Isolation by distance across the Hawaiian Archipelago in the reef_building coral Porites lobata,2010,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1365-294X.2010.04836.x,Porites lobata,Midway Atoll,28.2072,-177.3735,estimate,NA,NA,FALSE,pl0780,FALSE,0.1,0.105,2,-0.029,NA,NA,NA,0.011,NA,NA,NA,NA,19,,,,,,,,,
MK,1149,"NR Polato, GT Concepcion, RJ Toonen…",Isolation by distance across the Hawaiian Archipelago in the reef_building coral Porites lobata,2010,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1365-294X.2010.04836.x,Porites lobata,Midway Atoll,28.2072,-177.3735,estimate,NA,NA,FALSE,pl1357,FALSE,0.344,0.35,4,0.007,NA,NA,NA,0.011,NA,NA,NA,NA,20,,,,,,,,,
MK,1149,"NR Polato, GT Concepcion, RJ Toonen…",Isolation by distance across the Hawaiian Archipelago in the reef_building coral Porites lobata,2010,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1365-294X.2010.04836.x,Porites lobata,Midway Atoll,28.2072,-177.3735,estimate,NA,NA,FALSE,pl1490,FALSE,0,0,1,0,NA,NA,NA,0.011,NA,NA,NA,NA,21,,,,,,,,,
MK,1149,"NR Polato, GT Concepcion, RJ Toonen…",Isolation by distance across the Hawaiian Archipelago in the reef_building coral Porites lobata,2010,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1365-294X.2010.04836.x,Porites lobata,Midway Atoll,28.2072,-177.3735,estimate,NA,NA,FALSE,pl1551,FALSE,0.36,0.316,4,0.15,NA,NA,NA,0.011,NA,NA,NA,NA,19,,,,,,,,,
MK,1149,"NR Polato, GT Concepcion, RJ Toonen…",Isolation by distance across the Hawaiian Archipelago in the reef_building coral Porites lobata,2010,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1365-294X.2010.04836.x,Porites lobata,Midway Atoll,28.2072,-177.3735,estimate,NA,NA,FALSE,pl1556,FALSE,0.156,0.167,3,-0.023,NA,NA,NA,0.011,NA,NA,NA,NA,12,,,,,,,,,
MK,1149,"NR Polato, GT Concepcion, RJ Toonen…",Isolation by distance across the Hawaiian Archipelago in the reef_building coral Porites lobata,2010,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1365-294X.2010.04836.x,Porites lobata,Midway Atoll,28.2072,-177.3735,estimate,NA,NA,FALSE,pl1629,FALSE,0.261,0.25,3,0.069,NA,NA,NA,0.011,NA,NA,NA,NA,20,,,,,,,,,
MK,1149,"NR Polato, GT Concepcion, RJ Toonen…",Isolation by distance across the Hawaiian Archipelago in the reef_building coral Porites lobata,2010,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1365-294X.2010.04836.x,Porites lobata,Midway Atoll,28.2072,-177.3735,estimate,NA,NA,FALSE,pl2069,FALSE,0.368,0.381,5,-0.009,NA,NA,NA,0.011,NA,NA,NA,NA,21,,,,,,,,,
MK,1149,"NR Polato, GT Concepcion, RJ Toonen…",Isolation by distance across the Hawaiian Archipelago in the reef_building coral Porites lobata,2010,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1365-294X.2010.04836.x,Porites lobata,Midway Atoll,28.2072,-177.3735,estimate,NA,NA,FALSE,pl2258,FALSE,0.33,0.417,2,-0.222,NA,NA,NA,0.011,NA,NA,NA,NA,12,,,,,,,,,
MK,1149,"NR Polato, GT Concepcion, RJ Toonen…",Isolation by distance across the Hawaiian Archipelago in the reef_building coral Porites lobata,2010,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1365-294X.2010.04836.x,Porites lobata,Pearl & Hermies Atoll,27.833,-175.833,estimate,NA,NA,FALSE,pl0340,FALSE,0.553,0.475,6,0.154,NA,NA,NA,0.125,NA,NA,NA,NA,40,,,,,,,,,
MK,1149,"NR Polato, GT Concepcion, RJ Toonen…",Isolation by distance across the Hawaiian Archipelago in the reef_building coral Porites lobata,2010,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1365-294X.2010.04836.x,Porites lobata,Pearl & Hermies Atoll,27.833,-175.833,estimate,NA,NA,FALSE,pl0780,FALSE,0.047,0.048,3,-0.006,NA,NA,NA,0.125,NA,NA,NA,NA,42,,,,,,,,,
MK,1149,"NR Polato, GT Concepcion, RJ Toonen…",Isolation by distance across the Hawaiian Archipelago in the reef_building coral Porites lobata,2010,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1365-294X.2010.04836.x,Porites lobata,Pearl & Hermies Atoll,27.833,-175.833,estimate,NA,NA,FALSE,pl1357,FALSE,0.463,0.5,6,-0.068,NA,NA,NA,0.125,NA,NA,NA,NA,44,,,,,,,,,
MK,1149,"NR Polato, GT Concepcion, RJ Toonen…",Isolation by distance across the Hawaiian Archipelago in the reef_building coral Porites lobata,2010,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1365-294X.2010.04836.x,Porites lobata,Pearl & Hermies Atoll,27.833,-175.833,estimate,NA,NA,FALSE,pl1490,FALSE,0.169,0.026,4,0.852,NA,NA,NA,0.125,NA,NA,NA,NA,39,,,,,,,,,
MK,1149,"NR Polato, GT Concepcion, RJ Toonen…",Isolation by distance across the Hawaiian Archipelago in the reef_building coral Porites lobata,2010,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1365-294X.2010.04836.x,Porites lobata,Pearl & Hermies Atoll,27.833,-175.833,estimate,NA,NA,FALSE,pl1551,FALSE,0.608,0.553,4,0.104,NA,NA,NA,0.125,NA,NA,NA,NA,38,,,,,,,,,
MK,1149,"NR Polato, GT Concepcion, RJ Toonen…",Isolation by distance across the Hawaiian Archipelago in the reef_building coral Porites lobata,2010,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1365-294X.2010.04836.x,Porites lobata,Pearl & Hermies Atoll,27.833,-175.833,estimate,NA,NA,FALSE,pl1556,FALSE,0.229,0.205,3,0.116,NA,NA,NA,0.125,NA,NA,NA,NA,39,,,,,,,,,
MK,1149,"NR Polato, GT Concepcion, RJ Toonen…",Isolation by distance across the Hawaiian Archipelago in the reef_building coral Porites lobata,2010,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1365-294X.2010.04836.x,Porites lobata,Pearl & Hermies Atoll,27.833,-175.833,estimate,NA,NA,FALSE,pl1629,FALSE,0.223,0.25,3,-0.108,NA,NA,NA,0.125,NA,NA,NA,NA,44,,,,,,,,,
MK,1149,"NR Polato, GT Concepcion, RJ Toonen…",Isolation by distance across the Hawaiian Archipelago in the reef_building coral Porites lobata,2010,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1365-294X.2010.04836.x,Porites lobata,Pearl & Hermies Atoll,27.833,-175.833,estimate,NA,NA,FALSE,pl2069,FALSE,0.592,0.523,5,0.129,NA,NA,NA,0.125,NA,NA,NA,NA,44,,,,,,,,,
MK,1149,"NR Polato, GT Concepcion, RJ Toonen…",Isolation by distance across the Hawaiian Archipelago in the reef_building coral Porites lobata,2010,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1365-294X.2010.04836.x,Porites lobata,Pearl & Hermies Atoll,27.833,-175.833,estimate,NA,NA,FALSE,pl2258,FALSE,0.432,0.459,4,-0.049,NA,NA,NA,0.125,NA,NA,NA,NA,37,,,,,,,,,
MK,1149,"NR Polato, GT Concepcion, RJ Toonen…",Isolation by distance across the Hawaiian Archipelago in the reef_building coral Porites lobata,2010,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1365-294X.2010.04836.x,Porites lobata,Maro Reef,25.415,-170.59,estimate,NA,NA,FALSE,pl0340,FALSE,0.57,0.515,5,0.111,NA,NA,NA,0.064,NA,NA,NA,NA,33,,,,,,,,,
MK,1149,"NR Polato, GT Concepcion, RJ Toonen…",Isolation by distance across the Hawaiian Archipelago in the reef_building coral Porites lobata,2010,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1365-294X.2010.04836.x,Porites lobata,Maro Reef,25.415,-170.59,estimate,NA,NA,FALSE,pl0780,FALSE,0.087,0.091,2,-0.032,NA,NA,NA,0.064,NA,NA,NA,NA,33,,,,,,,,,
MK,1149,"NR Polato, GT Concepcion, RJ Toonen…",Isolation by distance across the Hawaiian Archipelago in the reef_building coral Porites lobata,2010,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1365-294X.2010.04836.x,Porites lobata,Maro Reef,25.415,-170.59,estimate,NA,NA,FALSE,pl1357,FALSE,0.27,0.303,4,-0.109,NA,NA,NA,0.064,NA,NA,NA,NA,33,,,,,,,,,
MK,1149,"NR Polato, GT Concepcion, RJ Toonen…",Isolation by distance across the Hawaiian Archipelago in the reef_building coral Porites lobata,2010,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1365-294X.2010.04836.x,Porites lobata,Maro Reef,25.415,-170.59,estimate,NA,NA,FALSE,pl1490,FALSE,0,0,1,0,NA,NA,NA,0.064,NA,NA,NA,NA,33,,,,,,,,,
MK,1149,"NR Polato, GT Concepcion, RJ Toonen…",Isolation by distance across the Hawaiian Archipelago in the reef_building coral Porites lobata,2010,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1365-294X.2010.04836.x,Porites lobata,Maro Reef,25.415,-170.59,estimate,NA,NA,FALSE,pl1551,FALSE,0.528,0.455,6,0.155,NA,NA,NA,0.064,NA,NA,NA,NA,33,,,,,,,,,
MK,1149,"NR Polato, GT Concepcion, RJ Toonen…",Isolation by distance across the Hawaiian Archipelago in the reef_building coral Porites lobata,2010,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1365-294X.2010.04836.x,Porites lobata,Maro Reef,25.415,-170.59,estimate,NA,NA,FALSE,pl1556,FALSE,0.169,0.091,3,0.481,NA,NA,NA,0.064,NA,NA,NA,NA,22,,,,,,,,,
MK,1149,"NR Polato, GT Concepcion, RJ Toonen…",Isolation by distance across the Hawaiian Archipelago in the reef_building coral Porites lobata,2010,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1365-294X.2010.04836.x,Porites lobata,Maro Reef,25.415,-170.59,estimate,NA,NA,FALSE,pl1629,FALSE,0.14,0.152,2,-0.067,NA,NA,NA,0.064,NA,NA,NA,NA,33,,,,,,,,,
MK,1149,"NR Polato, GT Concepcion, RJ Toonen…",Isolation by distance across the Hawaiian Archipelago in the reef_building coral Porites lobata,2010,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1365-294X.2010.04836.x,Porites lobata,Maro Reef,25.415,-170.59,estimate,NA,NA,FALSE,pl2069,FALSE,0.437,0.433,4,0.026,NA,NA,NA,0.064,NA,NA,NA,NA,30,,,,,,,,,
MK,1149,"NR Polato, GT Concepcion, RJ Toonen…",Isolation by distance across the Hawaiian Archipelago in the reef_building coral Porites lobata,2010,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1365-294X.2010.04836.x,Porites lobata,Maro Reef,25.415,-170.59,estimate,NA,NA,FALSE,pl2258,FALSE,0.127,0.136,2,-0.05,NA,NA,NA,0.064,NA,NA,NA,NA,22,,,,,,,,,
MK,1149,"NR Polato, GT Concepcion, RJ Toonen…",Isolation by distance across the Hawaiian Archipelago in the reef_building coral Porites lobata,2010,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1365-294X.2010.04836.x,Porites lobata,Gardener Pinnacles,24.9988,-167.998,estimate,NA,NA,FALSE,pl0340,FALSE,0.577,0.618,7,-0.056,NA,NA,NA,-0.032,NA,NA,NA,NA,34,,,,,,,,,
MK,1149,"NR Polato, GT Concepcion, RJ Toonen…",Isolation by distance across the Hawaiian Archipelago in the reef_building coral Porites lobata,2010,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1365-294X.2010.04836.x,Porites lobata,Gardener Pinnacles,24.9988,-167.998,estimate,NA,NA,FALSE,pl0780,FALSE,0.084,0.088,2,-0.031,NA,NA,NA,-0.032,NA,NA,NA,NA,34,,,,,,,,,
